work_order_id;equipment_id;equipment_type;fabricante;modelo;prioridade;tipo_manutencao;status;data_abertura;data_inicio;data_fim;tempo_reparo_min;causa_raiz;componente_afetado;severidade_falha;tempo_parada_h;horas_planejadas_em_aberto;equipe_capacidade_h_dia;tempo_disponivel_h;tempo_operado_h;local;turno;custo_estimado;responsavel;observacoes
WO0017;H014;Colhedora de cana;AGCO;AGC-449;Baixa;Preventiva;Concluída;2025-03-22 00:22;2025-03-23 09:19;2025-03-29 02:44;8245;Manutenção programada;Sistema elétrico;1;9,7;18,9;11;11,5;1,8;Fazenda B;Manhã;5564;Aylla Pereira;
WO0018;H004;Colhedora de cana;Valtra;Val-228;Alta;Corretiva;Em Andamento;2026-02-08 20:35;2026-02-09 03:44;;4065;Sobrecarga;Sistema hidráulico;4;8;46,3;11;10,9;2,9;Fazenda B;Tarde;27351;Sra. Stephany Jesus;"Ad beatae nihil magnam mollitia aspernatur minus.
Quisquam voluptatibus soluta. Doloremque quaerat saepe eos neque voluptate odit. Blanditiis ipsum dolorum."
WO0019;H009;Colhedora de cana;Valtra;Val-288;Alta;Preventiva;Concluída;2024-09-15 20:59;2024-09-16 13:59;2024-09-17 07:05;1026;Manutenção programada;Transmissão;4;11;27,2;6;15,2;4,2;Fazenda B;Manhã;8229;Noah da Cunha;"Labore necessitatibus temporibus sapiente illum quod.
Ad neque aliquid dolorum assumenda. Repellat voluptate officiis nemo dolorum. Nesciunt consectetur adipisci facere."
WO0020;H010;Colhedora de cana;AGCO;AGC-327;Alta;Preventiva;Concluída;2025-02-23 21:20;2025-02-24 16:09;2025-03-03 00:21;9132;Manutenção programada;Ferramentas de corte;4;12;35,7;6;14,6;2,6;Armazém;Manhã;4116;Gabriela Pires;"Fuga illum ducimus voluptatum voluptatibus accusantium molestias illo. Repellat aperiam ratione eos.
Veniam praesentium autem aut. Molestias facere quibusdam omnis quasi unde."
WO0021;T003;Trator;AGCO;AGC-T75;Baixa;Preventiva;Em Andamento;2026-02-07 05:20;2026-02-07 18:55;;6145;Manutenção programada;Sistema elétrico;1;1,5;48,6;7;8,8;7,3;Fazenda B;Tarde;2386;André Câmara;
WO0022;H002;Colhedora de cana;New Holland;New-267;Baixa;Preditiva;Concluída;2025-02-15 17:54;2025-02-17 17:11;2025-02-19 21:08;3117;Erro humano;Sistema hidráulico;1;17,1;0,2;10;20,1;3;Armazém;Tarde;9143;Maria Cecília da Rosa;
WO0023;H011;Colhedora de cana;Valtra;Val-331;Média;Corretiva;Em Andamento;2026-02-20 04:06;2026-02-21 02:13;;4302;Erro humano;Sistema hidráulico;2;12,4;45,3;12;18,8;6,4;Fazenda B;Tarde;9579;Dante da Mata;Architecto repellat consectetur eius. Quas vitae reiciendis amet ex nihil.
WO0024;H001;Colhedora de cana;Case IH;Cas-500;Alta;Preditiva;Em Andamento;2026-02-21 11:59;2026-02-21 16:32;;4151;Condições ambientais;Transmissão;5;3,6;39,9;6;23,7;20,1;Fazenda A;Noite;37992;Léo Silveira;
WO0025;H006;Colhedora de cana;Valtra;Val-290;Alta;Corretiva;Concluída;2025-11-21 17:17;2025-11-21 22:29;2025-11-28 15:36;9667;Condições ambientais;Transmissão;4;4,7;14,1;16;23,8;19,1;Fazenda B;Noite;9416;Diogo Siqueira;"Quis repellat similique aliquid commodi ex delectus. Aliquid ipsum quod neque fugit pariatur.
Explicabo ex corporis facere. Atque perspiciatis expedita saepe."
WO0026;T010;Trator;Case IH;Cas-T77;Alta;Preventiva;Em Andamento;2026-02-23 16:24;2026-02-24 05:20;;6639;Manutenção programada;Motor;5;13,5;11;10;15,6;2,1;Fazenda B;Noite;45379;Dr. Anthony da Luz;
WO0027;H012;Colhedora de cana;Case IH;Cas-275;Alta;Preditiva;Concluída;2025-03-22 00:01;2025-03-23 05:39;2025-03-27 06:27;5808;Desgaste de peças;Sistema hidráulico;5;3,2;40,8;13;8,8;5,6;Armazém;Tarde;20185;Dr. Asafe Pereira;
WO0028;T003;Trator;AGCO;AGC-T75;Baixa;Corretiva;Aberta;2025-03-14 11:34;;;4469;Falha mecânica;Sistema hidráulico;1;1,5;24,6;14;22,7;21,2;Fazenda B;Manhã;9119;Sr. Lorenzo da Conceição;Quis autem consequatur ex commodi ipsa. Numquam tempore voluptatibus fuga quibusdam. Ad quibusdam molestiae accusantium.
WO0029;H015;Colhedora de cana;Case IH;Cas-360;Média;Preditiva;Aberta;2023-03-01 17:37;;;1000;Erro humano;Sistema elétrico;2;10,1;45,8;11;10,8;0,7;Fazenda A;Manhã;7986;Ísis Nogueira;Quam impedit fugiat deleniti. Tempore et dicta provident quo impedit. Porro atque molestias culpa.
WO0030;H004;Colhedora de cana;Valtra;Val-228;Baixa;Corretiva;Em Andamento;2026-01-26 11:46;2026-01-26 17:16;;4277;Sobrecarga;Motor;1;6,7;23,3;11;12,2;5,5;Armazém;Noite;2948;Gabriel Camargo;
WO0031;T011;Trator;Case IH;Cas-T147;Alta;Corretiva;Em Andamento;2026-02-05 01:44;2026-02-05 18:00;;4029;Erro humano;Sistema elétrico;5;13;18,3;15;16,8;3,8;Armazém;Manhã;42000;Vitor Souza;Ut veritatis amet rem. Quos commodi earum quidem. Dolorum voluptate esse quam.
WO0032;H009;Colhedora de cana;Valtra;Val-288;Baixa;Preditiva;Aberta;2024-09-12 01:24;;;9735;Erro humano;Pneus/Rodas;1;18,7;2,4;10;20,3;1,6;Fazenda B;Manhã;1061;Jade Montenegro;"Dolores assumenda porro laborum expedita labore repellendus. Tempore similique dicta ea repellendus aliquid.
Architecto voluptas nisi assumenda. Quas numquam et blanditiis."
WO0033;H008;Colhedora de cana;Valtra;Val-318;Alta;Preditiva;Em Andamento;2026-01-25 16:08;2026-01-26 03:28;;4313;Sobrecarga;Pneus/Rodas;4;5,8;30,4;7;9,3;3,5;Fazenda A;Manhã;19130;Felipe Vieira;
WO0034;T006;Trator;New Holland;New-T150;Média;Preventiva;Aberta;2025-09-17 14:25;;;9954;Manutenção programada;Motor;2;4,6;7,8;16;8,6;4;Fazenda B;Tarde;15201;Melissa Moraes;
WO0035;H002;Colhedora de cana;New Holland;New-267;Alta;Preventiva;Aberta;2023-02-27 01:30;;;6452;Manutenção programada;Sistema hidráulico;4;13,6;22,8;16;16,1;2,5;Fazenda A;Tarde;20131;Isis Freitas;
WO0036;H002;Colhedora de cana;New Holland;New-267;Média;Corretiva;Concluída;2025-05-27 17:49;2025-05-28 14:19;2025-06-03 07:43;8244;Falha mecânica;Pneus/Rodas;2;7;1,2;8;18,3;11,3;Fazenda B;Manhã;8697;Daniela Gonçalves;Dicta quasi necessitatibus repellendus. Sequi minima non doloribus nulla ullam.
WO0037;T009;Trator;Case IH;Cas-T173;Média;Preventiva;Em Andamento;2026-01-28 02:58;2026-01-28 09:01;;3681;Manutenção programada;Transmissão;3;5;37,8;7;10,2;5,2;Armazém;Noite;24168;Dr. Renan Cassiano;Eveniet incidunt eligendi rem labore repellendus natus. Saepe ullam facere. Facilis dolore possimus repellendus placeat pariatur dolorum expedita. Veniam perspiciatis sed.
WO0038;T015;Trator;Case IH;Cas-T200;Alta;Preditiva;Em Andamento;2026-02-01 07:10;2026-02-01 16:01;;999;Erro humano;Ferramentas de corte;4;8,4;33,1;16;17,4;9;Fazenda B;Tarde;25623;Caio Gomes;
WO0039;H006;Colhedora de cana;Valtra;Val-290;Média;Corretiva;Aberta;2025-11-14 18:20;;;607;Condições ambientais;Ferramentas de corte;2;6,3;35,5;6;9,2;2,9;Armazém;Noite;13542;Samuel Vargas;"Reprehenderit earum perspiciatis error quod. Error fugit quasi nobis nulla voluptas.
Sint placeat voluptate aspernatur nostrum corrupti excepturi. Mollitia eveniet veniam est."
WO0040;T015;Trator;Case IH;Cas-T200;Baixa;Preventiva;Aberta;2024-02-23 20:27;;;193;Manutenção programada;Sistema elétrico;1;14,6;38;15;19,4;4,8;Fazenda B;Noite;8143;Ana Beatriz Gonçalves;
WO0041;H004;Colhedora de cana;Valtra;Val-228;Média;Preventiva;Em Andamento;2026-02-10 21:05;2026-02-11 07:44;;6526;Manutenção programada;Sistema elétrico;3;17,4;32,8;7;18,1;0,7;Armazém;Noite;10251;Theodoro Araújo;Explicabo minima aperiam similique. A quisquam reiciendis saepe omnis minima. Libero corrupti nulla omnis.
WO0042;T008;Trator;Case IH;Cas-T163;Baixa;Preventiva;Em Andamento;2026-01-29 11:15;2026-01-30 01:03;;3773;Manutenção programada;Pneus/Rodas;1;2,4;19,4;12;14,6;12,2;Armazém;Noite;1836;Catarina das Neves;
WO0043;H004;Colhedora de cana;Valtra;Val-228;Média;Preventiva;Concluída;2023-02-14 05:17;2023-02-15 03:11;2023-02-21 06:24;8833;Manutenção programada;Sistema hidráulico;3;8,8;48,9;11;12,8;4;Fazenda B;Tarde;15418;José Miguel Aragão;
WO0044;T005;Trator;New Holland;New-T152;Alta;Preditiva;Concluída;2024-07-28 00:40;2024-07-29 18:19;2024-08-01 13:11;4012;Erro humano;Sistema hidráulico;5;1,2;8,8;6;11,5;10,3;Armazém;Manhã;4232;Srta. Marcela Sales;Inventore nihil facere cum molestiae atque. Quaerat provident ullam similique amet.
WO0045;T015;Trator;Case IH;Cas-T200;Baixa;Corretiva;Concluída;2024-04-29 14:07;2024-04-30 02:49;2024-05-04 13:15;6386;Sobrecarga;Sistema hidráulico;1;8,1;8,2;11;19,7;11,6;Fazenda B;Manhã;6832;Ísis Siqueira;"Fugit praesentium cupiditate. Inventore quae distinctio pariatur.
Et nam laborum voluptatum eum eaque. Nostrum laboriosam vitae aliquid a fugit."
WO0046;H014;Colhedora de cana;AGCO;AGC-449;Média;Preventiva;Em Andamento;2026-02-18 11:53;2026-02-18 21:38;;4571;Manutenção programada;Motor;3;7,5;15,9;10;20,7;13,2;Armazém;Manhã;25243;Samuel Leão;"Dolore eaque libero consectetur error minima. Tempora facere illo magnam omnis eligendi. Occaecati atque magni quos.
Molestiae eveniet cum alias autem. Ab excepturi ratione eius."
WO0047;T004;Trator;Valtra;Val-T81;Baixa;Corretiva;Concluída;2024-11-26 03:59;2024-11-26 07:14;2024-12-02 21:39;9505;Erro humano;Transmissão;1;6,5;13,8;7;9,3;2,8;Armazém;Manhã;4524;Yuri Sales;Adipisci fugit repellat doloremque dolorum a. Maiores quisquam ea.
WO0048;H012;Colhedora de cana;Case IH;Cas-275;Alta;Corretiva;Aberta;2023-07-02 09:22;;;2431;Desgaste de peças;Motor;5;8,6;5,5;7;20,1;11,5;Fazenda B;Tarde;28726;Sr. Eduardo Vargas;"Cum vitae rerum cupiditate expedita quasi. Expedita facere eaque nemo laudantium quisquam.
Occaecati asperiores ex ratione iste. Officia alias et sed libero."
WO0049;H008;Colhedora de cana;Valtra;Val-318;Alta;Corretiva;Concluída;2023-11-11 08:52;2023-11-13 07:10;2023-11-19 14:06;9056;Erro humano;Transmissão;4;4,3;39;10;23;18,7;Fazenda A;Noite;27646;Sophia Monteiro;Recusandae eveniet in. Odio fugit praesentium ipsam sunt totam eaque. Porro explicabo aliquam corrupti.
WO0050;T009;Trator;Case IH;Cas-T173;Média;Preventiva;Concluída;2025-04-19 20:28;2025-04-20 16:36;2025-04-23 15:40;4264;Manutenção programada;Transmissão;3;4,9;30,2;11;8,5;3,6;Fazenda B;Tarde;23577;Leonardo Duarte;
WO0051;T003;Trator;AGCO;AGC-T75;Alta;Preventiva;Em Andamento;2026-02-21 02:13;2026-02-22 00:18;;2421;Manutenção programada;Transmissão;5;3,1;11,5;6;11,3;8,2;Fazenda A;Tarde;40696;Dr. Vinicius Jesus;
WO0052;H012;Colhedora de cana;Case IH;Cas-275;Alta;Preventiva;Concluída;2023-12-07 04:10;2023-12-07 04:46;2023-12-07 15:42;656;Manutenção programada;Pneus/Rodas;4;5,3;5,6;13;20,4;15,1;Armazém;Tarde;3199;Sr. Henry Rocha;
WO0053;H009;Colhedora de cana;Valtra;Val-288;Alta;Corretiva;Em Andamento;2026-02-12 11:28;2026-02-12 22:21;;4711;Erro humano;Ferramentas de corte;5;16,7;47,1;13;20,2;3,5;Fazenda A;Noite;3209;Nicolas Abreu;
WO0054;H007;Colhedora de cana;John Deere;Joh-358;Alta;Preditiva;Em Andamento;2026-02-03 06:21;2026-02-03 10:46;;1643;Erro humano;Ferramentas de corte;4;18,6;0,5;16;22,5;3,9;Fazenda B;Noite;5514;Sr. Enzo Gabriel Aparecida;
WO0055;T015;Trator;Case IH;Cas-T200;Média;Preditiva;Concluída;2025-11-24 03:13;2025-11-24 06:04;2025-11-27 13:08;4744;Desgaste de peças;Sistema hidráulico;2;0;43,1;8;18,7;18,7;Armazém;Tarde;8524;Anthony Sampaio;
WO0056;H009;Colhedora de cana;Valtra;Val-288;Alta;Preventiva;Em Andamento;2026-02-06 09:06;2026-02-06 12:59;;2105;Manutenção programada;Sistema elétrico;5;5,2;39,9;12;17;11,8;Fazenda B;Noite;42103;Luiz Henrique Moreira;"Ex nesciunt recusandae deserunt modi. Libero voluptatum aperiam neque.
Commodi impedit quam pariatur possimus perspiciatis dicta."
WO0057;T004;Trator;Valtra;Val-T81;Média;Preventiva;Aberta;2024-07-24 10:35;;;7873;Manutenção programada;Sistema hidráulico;3;2,5;37,4;12;9,7;7,2;Fazenda B;Tarde;4461;Emanuel Correia;
WO0058;T009;Trator;Case IH;Cas-T173;Alta;Corretiva;Concluída;2023-06-28 20:02;2023-06-30 13:48;2023-07-07 10:13;9865;Desgaste de peças;Motor;4;2,8;41,4;8;9,4;6,6;Fazenda A;Manhã;6050;Pedro Lucas Freitas;
WO0059;T013;Trator;Valtra;Val-T107;Alta;Preditiva;Aberta;2024-12-10 03:03;;;5077;Erro humano;Sistema elétrico;4;5,9;28,2;10;12,1;6,2;Fazenda A;Manhã;20906;Maria Fernanda Costela;"Quo id alias odit dolorum eius nisi. Totam delectus saepe sit expedita culpa.
Vero amet dicta. Consequuntur sapiente reprehenderit porro necessitatibus."
WO0060;T014;Trator;John Deere;Joh-T77;Alta;Preditiva;Em Andamento;2026-02-06 21:08;2026-02-07 10:23;;3971;Condições ambientais;Sistema hidráulico;5;5,6;49,7;9;8,1;2,5;Fazenda B;Noite;33802;Breno Pastor;
WO0061;T006;Trator;New Holland;New-T150;Baixa;Corretiva;Em Andamento;2026-02-01 05:24;2026-02-01 09:11;;3382;Condições ambientais;Pneus/Rodas;1;21,3;21,1;14;23,2;1,9;Armazém;Noite;7335;Carlos Eduardo Vargas;Ad modi excepturi magnam quidem dolores. Et aspernatur ipsam maxime eveniet excepturi. Enim et vero.
WO0062;H013;Colhedora de cana;AGCO;AGC-457;Alta;Preditiva;Aberta;2023-10-11 21:24;;;771;Condições ambientais;Sistema elétrico;5;5,2;37,4;12;12,7;7,5;Armazém;Manhã;46299;Sr. Gael Monteiro;"Consectetur ratione quisquam cupiditate culpa laboriosam magnam laborum.
Fuga iusto voluptas totam facere necessitatibus alias. Ab sunt magnam accusamus corrupti."
WO0063;T015;Trator;Case IH;Cas-T200;Média;Corretiva;Em Andamento;2026-02-23 19:44;2026-02-24 00:48;;1649;Desgaste de peças;Motor;3;7,3;21,9;7;11,1;3,8;Armazém;Tarde;22172;Stella Duarte;"Officia fugit quidem nisi sunt. Ullam cum unde aspernatur consectetur. Similique id magnam cum occaecati eos in.
Impedit laborum sit sequi sequi. Nemo molestias nobis."
WO0064;H008;Colhedora de cana;Valtra;Val-318;Baixa;Preventiva;Aberta;2023-12-20 03:48;;;8141;Manutenção programada;Sistema elétrico;1;1,2;23,2;16;13,4;12,2;Armazém;Tarde;6911;Luana Andrade;
WO0065;H009;Colhedora de cana;Valtra;Val-288;Alta;Corretiva;Concluída;2023-01-04 15:05;2023-01-06 04:03;2023-01-07 11:59;1916;Desgaste de peças;Sistema hidráulico;5;12,5;17,3;14;12,6;0,1;Fazenda B;Noite;22165;Breno Ribeiro;
WO0066;T006;Trator;New Holland;New-T150;Baixa;Preditiva;Aberta;2025-07-03 08:12;;;867;Falha mecânica;Pneus/Rodas;1;8,5;22,3;16;18,4;9,9;Fazenda B;Tarde;890;Gabriel Cavalcante;
WO0067;H008;Colhedora de cana;Valtra;Val-318;Alta;Corretiva;Aberta;2024-10-09 03:35;;;9388;Condições ambientais;Transmissão;5;9,8;38,5;7;12,6;2,8;Fazenda B;Manhã;20977;Mariah Santos;
WO0068;H011;Colhedora de cana;Valtra;Val-331;Média;Corretiva;Aberta;2024-02-17 15:55;;;5267;Desgaste de peças;Sistema elétrico;2;11,8;17,9;15;22,5;10,7;Fazenda B;Noite;9615;Arthur Araújo;
WO0069;H008;Colhedora de cana;Valtra;Val-318;Alta;Preditiva;Aberta;2024-06-03 00:32;;;5653;Erro humano;Sistema elétrico;4;2;47,2;12;8,2;6,2;Armazém;Tarde;14677;Isaac Pinto;
WO0070;H013;Colhedora de cana;AGCO;AGC-457;Média;Preditiva;Em Andamento;2026-02-20 22:04;2026-02-21 01:16;;2130;Condições ambientais;Transmissão;2;12,3;38,9;7;12,5;0,2;Fazenda B;Tarde;18273;Srta. Jade Barbosa;Quos culpa dolorem ducimus. Culpa voluptatum dolor at. Libero totam laborum soluta magni placeat. Cupiditate molestiae nulla debitis nisi.
WO0071;T001;Trator;New Holland;New-T163;Alta;Preditiva;Aberta;2023-03-28 16:10;;;8549;Sobrecarga;Sistema hidráulico;5;2,9;47,4;11;20,4;17,5;Fazenda A;Noite;28216;Sra. Eloá Cardoso;
WO0072;H013;Colhedora de cana;AGCO;AGC-457;Média;Preventiva;Em Andamento;2026-02-15 17:31;2026-02-16 13:44;;3153;Manutenção programada;Ferramentas de corte;3;14,4;49,5;11;16,4;2;Armazém;Manhã;8715;Heitor Melo;
WO0073;H013;Colhedora de cana;AGCO;AGC-457;Alta;Preventiva;Concluída;2023-10-23 16:06;2023-10-25 13:57;2023-10-31 07:46;8269;Manutenção programada;Sistema hidráulico;4;15,3;13,5;9;19,3;4;Fazenda B;Noite;18240;Noah Ribeiro;"Libero magnam occaecati saepe. Voluptatibus eum rem. Eius vitae eaque.
Repellat aliquid itaque itaque. Modi maiores odio dignissimos."
WO0074;H015;Colhedora de cana;Case IH;Cas-360;Média;Preventiva;Concluída;2025-02-04 16:51;2025-02-05 14:32;2025-02-11 17:20;8808;Manutenção programada;Ferramentas de corte;2;5,3;14,4;13;23,4;18,1;Armazém;Manhã;8545;Allana Gonçalves;Repellendus ex dolores asperiores. Nostrum blanditiis maxime veritatis. Soluta cupiditate voluptatum eaque.
WO0075;H012;Colhedora de cana;Case IH;Cas-275;Média;Corretiva;Concluída;2024-11-28 02:08;2024-11-29 10:47;2024-12-06 08:52;9965;Erro humano;Sistema hidráulico;3;18;49,4;15;21,2;3,2;Fazenda B;Manhã;13027;Manuela Câmara;"Neque sint dolores vel sint doloremque iusto. Voluptatibus exercitationem autem rerum.
Nulla nostrum natus minus. Veritatis et aspernatur maiores quos. Soluta debitis repellendus."
WO0076;T006;Trator;New Holland;New-T150;Alta;Preditiva;Aberta;2025-05-12 06:30;;;433;Falha mecânica;Sistema hidráulico;5;0,7;42,7;10;8,1;7,4;Armazém;Noite;42911;Juan Nascimento;
WO0077;T004;Trator;Valtra;Val-T81;Média;Preditiva;Concluída;2023-12-02 08:26;2023-12-03 16:35;2023-12-09 20:27;8872;Condições ambientais;Ferramentas de corte;3;4,3;34,1;8;9;4,7;Fazenda B;Tarde;29965;Liz Machado;Quos beatae sequi occaecati ex quos error. Accusamus non atque suscipit.
WO0078;H005;Colhedora de cana;Case IH;Cas-206;Alta;Corretiva;Em Andamento;2026-02-03 05:43;2026-02-04 04:05;;4131;Erro humano;Pneus/Rodas;5;10,9;10,8;6;12,5;1,6;Armazém;Tarde;40634;João Felipe Fernandes;"Iste a ipsa. Cum distinctio odio quam minus voluptatibus.
Accusantium fuga pariatur fugit mollitia. Vitae recusandae autem.
Repellendus dolores amet enim."
WO0079;T003;Trator;AGCO;AGC-T75;Baixa;Corretiva;Aberta;2025-01-23 01:50;;;5307;Desgaste de peças;Sistema elétrico;1;0,1;31,4;15;8,9;8,8;Fazenda A;Tarde;6865;Dr. Henrique Garcia;Aliquam sit laudantium quaerat natus. Atque illo perferendis labore nemo aut sunt. Sed numquam veritatis repellendus id possimus dolorum.
WO0080;T008;Trator;Case IH;Cas-T163;Baixa;Preditiva;Concluída;2025-08-12 08:55;2025-08-12 09:34;2025-08-18 14:21;8927;Erro humano;Sistema hidráulico;1;2,3;3,7;16;13,1;10,8;Fazenda A;Manhã;559;Hellena Andrade;
WO0081;H015;Colhedora de cana;Case IH;Cas-360;Alta;Preditiva;Aberta;2025-08-23 10:33;;;4233;Erro humano;Sistema elétrico;5;5,8;46,9;16;8,7;2,9;Armazém;Noite;42511;Alícia Porto;
WO0082;T010;Trator;Case IH;Cas-T77;Baixa;Corretiva;Concluída;2024-10-22 13:23;2024-10-23 07:20;2024-10-29 18:07;9287;Erro humano;Ferramentas de corte;1;18,1;23,7;15;18,7;0,6;Fazenda B;Manhã;6341;Aylla Lima;"Delectus distinctio laborum illo. Quas et fugiat reiciendis.
Commodi sunt a laudantium tempora. Quod vero inventore ullam fuga sapiente sint beatae. Autem accusamus culpa non."
WO0083;T006;Trator;New Holland;New-T150;Baixa;Corretiva;Concluída;2026-02-09 02:50;2026-02-09 05:33;2026-02-14 11:53;7580;Falha mecânica;Pneus/Rodas;1;12,8;0,7;14;14,6;1,8;Fazenda A;Noite;3870;Ana Lívia Moura;"Ducimus ab impedit corrupti culpa. Nam eaque recusandae blanditiis.
Cumque facere iure libero voluptates laboriosam temporibus eligendi. Reiciendis pariatur repellat velit itaque."
WO0084;T015;Trator;Case IH;Cas-T200;Baixa;Corretiva;Em Andamento;2026-02-20 20:00;2026-02-21 12:38;;5950;Condições ambientais;Sistema elétrico;1;7,7;19,4;13;13,5;5,8;Fazenda A;Tarde;1197;Heloisa Leão;
WO0085;T002;Trator;Case IH;Cas-T79;Alta;Preditiva;Concluída;2025-12-22 23:48;2025-12-23 16:16;2025-12-25 13:12;2696;Desgaste de peças;Ferramentas de corte;5;7,3;49,8;15;13,1;5,8;Fazenda B;Tarde;37073;Hadassa Sales;Neque debitis officia. Vel voluptates quasi fugiat sunt est. Harum mollitia ea harum dolorem. Fugit facere sequi beatae perferendis reprehenderit recusandae.
