OrderID,EquipmentID,EquipmentType,OrderType,Priority,CreationDate,FinishDate,Status,DowntimeHours,EstimatedCost,ActualCost,MaintenanceGroup,Description,AgeDays
80,COLH-014,Colhedora,Preventiva,4,2024-01-13,2024-01-29,Concluída,3.61,5086.66,4367.67,Mecânica,Manutenção programada,16
81,COLH-023,Colhedora,Corretiva,5,2024-07-07,2024-07-08,Concluída,11.76,5236.63,4547.1900000000005,Hidráulica,Falha inesperada,1
82,COLH-040,Colhedora,Preventiva,3,2024-10-13,2024-10-30,Em execução,2.8,6183.01,6126.97,Hidráulica,Manutenção programada,17
83,COLH-021,Colhedora,Corretiva,3,2024-07-26,2024-08-16,Concluída,4.97,6987.05,6718.01,Hidráulica,Falha inesperada,21
84,COLH-016,Colhedora,Preventiva,4,2024-04-23,2024-05-22,Concluída,4.76,4766.59,5447.780000000001,Elétrica,Manutenção programada,29
85,COLH-045,Colhedora,Corretiva,5,2024-01-22,2024-01-31,Aberta,5.62,3548.24,3886.68,Mecânica,Falha inesperada,9
86,COLH-018,Colhedora,Preventiva,5,2024-12-14,2024-12-20,Concluída,3.34,5841.08,7073.01,Mecânica,Manutenção programada,6
87,COLH-047,Colhedora,Preventiva,5,2024-08-01,2024-08-20,Em execução,4.31,4579.64,5133.450000000001,Mecânica,Manutenção programada,19
88,COLH-024,Colhedora,Preventiva,2,2024-06-19,2024-07-02,Em execução,2.56,6896.93,6681.27,Hidráulica,Manutenção programada,13
89,COLH-026,Colhedora,Preventiva,3,2024-11-18,2024-11-21,Em execução,2.38,4097.05,2884.15,Hidráulica,Manutenção programada,3
90,COLH-025,Colhedora,Corretiva,5,2024-02-23,2024-03-01,Aberta,6.34,3712.98,4156.54,Hidráulica,Falha inesperada,7
91,COLH-045,Colhedora,Corretiva,5,2024-10-24,2024-11-15,Concluída,10.7,5215.69,4147.429999999999,Hidráulica,Falha inesperada,22
92,COLH-041,Colhedora,Preventiva,2,2024-11-15,2024-11-24,Em execução,4.06,2389.37,2163.81,Hidráulica,Manutenção programada,9
93,COLH-029,Colhedora,Corretiva,2,2024-05-05,2024-05-27,Concluída,8.1,4298.86,4021.4799999999996,Elétrica,Falha inesperada,22
94,COLH-015,Colhedora,Preventiva,5,2024-10-03,2024-10-08,Concluída,4.88,4505.24,4398.5,Hidráulica,Manutenção programada,5
95,COLH-045,Colhedora,Corretiva,1,2024-07-22,2024-08-01,Em execução,8.1,5330.71,4577.88,Mecânica,Falha inesperada,10
96,COLH-001,Colhedora,Corretiva,5,2024-07-12,2024-08-04,Concluída,11.88,3505.59,3225.37,Hidráulica,Falha inesperada,23
97,COLH-025,Colhedora,Corretiva,5,2024-06-17,2024-07-04,Concluída,6.7,3680.75,4897.47,Mecânica,Falha inesperada,17
98,COLH-007,Colhedora,Corretiva,2,2024-05-31,2024-06-12,Concluída,15.0,6735.37,7949.889999999999,Hidráulica,Falha inesperada,12
99,COLH-009,Colhedora,Corretiva,2,2024-02-04,2024-02-27,Aberta,12.71,4979.81,6505.81,Hidráulica,Falha inesperada,23
100,COLH-024,Colhedora,Corretiva,5,2024-07-02,2024-07-18,Concluída,7.62,6296.96,6605.08,Mecânica,Falha inesperada,16
101,COLH-001,Colhedora,Corretiva,5,2024-10-12,2024-10-15,Concluída,12.3,4187.32,4704.299999999999,Mecânica,Falha inesperada,3
102,COLH-044,Colhedora,Corretiva,5,2024-02-26,2024-03-22,Em execução,12.15,4918.32,6146.8099999999995,Mecânica,Falha inesperada,25
103,COLH-008,Colhedora,Corretiva,2,2024-08-09,2024-08-31,Aberta,12.66,5321.8,4445.27,Mecânica,Falha inesperada,22
104,COLH-024,Colhedora,Preventiva,5,2024-10-29,2024-11-07,Concluída,0.52,7621.33,8565.83,Elétrica,Manutenção programada,9
105,COLH-011,Colhedora,Corretiva,5,2024-06-11,2024-07-10,Em execução,10.16,4673.57,6015.45,Mecânica,Falha inesperada,29
106,COLH-017,Colhedora,Corretiva,4,2024-01-19,2024-02-03,Concluída,9.63,4750.6,4339.43,Hidráulica,Falha inesperada,15
107,COLH-008,Colhedora,Corretiva,1,2024-09-20,2024-09-25,Concluída,9.41,6647.23,8053.339999999999,Hidráulica,Falha inesperada,5
108,COLH-035,Colhedora,Preventiva,3,2024-10-08,2024-10-31,Concluída,3.22,4430.28,6376.45,Elétrica,Manutenção programada,23
109,COLH-035,Colhedora,Corretiva,1,2024-04-22,2024-05-05,Concluída,8.74,5426.94,6349.219999999999,Mecânica,Falha inesperada,13
110,COLH-033,Colhedora,Preventiva,4,2024-11-22,2024-12-06,Em execução,4.28,6516.44,7292.04,Hidráulica,Manutenção programada,14
111,COLH-005,Colhedora,Preventiva,3,2024-01-30,2024-02-19,Em execução,3.54,4136.24,3540.4199999999996,Elétrica,Manutenção programada,20
112,COLH-042,Colhedora,Corretiva,5,2024-05-14,2024-05-29,Concluída,8.65,5510.69,6666.049999999999,Hidráulica,Falha inesperada,15
113,COLH-039,Colhedora,Corretiva,4,2024-03-07,2024-03-23,Concluída,11.42,7618.33,7097.86,Elétrica,Falha inesperada,16
114,COLH-041,Colhedora,Corretiva,5,2024-03-05,2024-03-28,Concluída,9.25,6381.98,6977.7699999999995,Elétrica,Falha inesperada,23
115,COLH-028,Colhedora,Corretiva,2,2024-10-18,2024-10-31,Em execução,9.54,5427.4,6104.28,Mecânica,Falha inesperada,13
116,COLH-007,Colhedora,Corretiva,4,2024-01-25,2024-02-11,Em execução,13.6,4663.52,2326.5200000000004,Elétrica,Falha inesperada,17
117,COLH-009,Colhedora,Preventiva,2,2024-02-06,2024-02-29,Aberta,2.57,4093.52,4718.16,Hidráulica,Manutenção programada,23
118,COLH-008,Colhedora,Corretiva,4,2024-01-01,2024-01-09,Concluída,3.45,3517.72,5914.9,Hidráulica,Falha inesperada,8
119,COLH-012,Colhedora,Corretiva,4,2024-02-06,2024-02-27,Aberta,8.22,7264.44,5890.95,Mecânica,Falha inesperada,21
120,COLH-034,Colhedora,Corretiva,2,2024-05-20,2024-05-22,Concluída,8.64,6973.21,7230.1,Mecânica,Falha inesperada,2
121,COLH-033,Colhedora,Preventiva,3,2024-08-19,2024-08-24,Concluída,3.72,4014.33,2756.64,Elétrica,Manutenção programada,5
122,COLH-048,Colhedora,Corretiva,1,2024-05-15,2024-05-21,Concluída,8.32,5506.53,5091.219999999999,Mecânica,Falha inesperada,6
123,COLH-023,Colhedora,Corretiva,5,2024-07-06,2024-07-18,Concluída,10.27,5166.99,3923.17,Hidráulica,Falha inesperada,12
124,COLH-024,Colhedora,Preventiva,4,2024-05-07,2024-05-25,Em execução,5.5,6776.62,7204.25,Hidráulica,Manutenção programada,18
125,COLH-037,Colhedora,Preventiva,5,2024-07-19,2024-08-10,Concluída,3.8,5574.2,6509.08,Mecânica,Manutenção programada,22
126,COLH-035,Colhedora,Corretiva,2,2024-05-06,2024-05-28,Concluída,10.93,4965.77,5593.56,Mecânica,Falha inesperada,22
127,COLH-044,Colhedora,Preventiva,5,2024-09-13,2024-09-14,Concluída,2.87,4187.47,3743.32,Mecânica,Manutenção programada,1
128,COLH-040,Colhedora,Preventiva,2,2024-06-12,2024-06-29,Concluída,1.61,5511.3,5323.78,Elétrica,Manutenção programada,17
129,COLH-022,Colhedora,Corretiva,5,2024-02-04,2024-02-15,Concluída,1.11,4477.73,4995.549999999999,Elétrica,Falha inesperada,11
130,COLH-027,Colhedora,Corretiva,1,2024-07-12,2024-07-22,Em execução,6.44,5331.03,4911.889999999999,Hidráulica,Falha inesperada,10
131,COLH-035,Colhedora,Corretiva,1,2024-07-09,2024-07-28,Em execução,0.26,4886.04,4123.0,Elétrica,Falha inesperada,19
132,COLH-001,Colhedora,Corretiva,1,2024-04-13,2024-04-27,Concluída,9.54,4441.26,4549.96,Elétrica,Falha inesperada,14
133,COLH-035,Colhedora,Preventiva,1,2024-01-23,2024-02-18,Concluída,2.62,3540.89,3085.12,Elétrica,Manutenção programada,26
134,COLH-037,Colhedora,Preventiva,1,2024-09-21,2024-10-01,Aberta,1.69,5771.29,6400.54,Elétrica,Manutenção programada,10
135,COLH-047,Colhedora,Corretiva,1,2024-10-16,2024-10-31,Concluída,8.39,5063.86,6402.82,Hidráulica,Falha inesperada,15
136,COLH-014,Colhedora,Corretiva,2,2024-09-16,2024-10-14,Concluída,5.78,7681.13,10059.2,Mecânica,Falha inesperada,28
137,COLH-003,Colhedora,Corretiva,4,2024-12-23,2025-01-11,Em execução,9.35,3451.48,4021.9300000000003,Hidráulica,Falha inesperada,19
138,COLH-001,Colhedora,Corretiva,5,2024-03-15,2024-03-19,Concluída,10.12,5937.95,6754.73,Elétrica,Falha inesperada,4
139,COLH-005,Colhedora,Preventiva,1,2024-12-20,2024-12-22,Concluída,2.3,4876.03,4696.58,Mecânica,Manutenção programada,2
140,COLH-026,Colhedora,Corretiva,2,2024-03-12,2024-03-21,Aberta,7.29,8149.64,8019.740000000001,Mecânica,Falha inesperada,9
141,COLH-014,Colhedora,Corretiva,2,2024-09-15,2024-09-25,Concluída,8.64,5823.46,7150.7,Mecânica,Falha inesperada,10
142,COLH-039,Colhedora,Corretiva,2,2024-07-06,2024-08-03,Concluída,3.78,5487.03,5565.969999999999,Hidráulica,Falha inesperada,28
143,COLH-027,Colhedora,Corretiva,4,2024-06-21,2024-07-02,Concluída,8.64,4879.85,5238.21,Mecânica,Falha inesperada,11
144,COLH-009,Colhedora,Corretiva,5,2024-10-16,2024-10-30,Concluída,3.71,3945.32,5223.700000000001,Hidráulica,Falha inesperada,14
145,COLH-015,Colhedora,Preventiva,4,2024-02-14,2024-02-21,Concluída,3.57,5467.09,5552.1900000000005,Hidráulica,Manutenção programada,7
146,COLH-015,Colhedora,Corretiva,3,2024-03-01,2024-03-24,Concluída,6.69,2926.55,4426.89,Elétrica,Falha inesperada,23
147,COLH-026,Colhedora,Preventiva,2,2024-03-23,2024-04-07,Concluída,1.56,2995.57,3753.9900000000002,Elétrica,Manutenção programada,15
148,COLH-042,Colhedora,Corretiva,3,2024-05-02,2024-05-24,Concluída,6.26,6518.66,7182.98,Mecânica,Falha inesperada,22
149,COLH-013,Colhedora,Corretiva,1,2024-12-23,2025-01-11,Em execução,6.39,2356.81,2138.2599999999998,Mecânica,Falha inesperada,19
150,COLH-032,Colhedora,Corretiva,1,2024-01-16,2024-02-07,Em execução,11.21,4520.64,5227.9400000000005,Elétrica,Falha inesperada,22
151,COLH-039,Colhedora,Preventiva,4,2024-03-06,2024-03-21,Em execução,3.17,3426.31,3383.07,Hidráulica,Manutenção programada,15
152,COLH-049,Colhedora,Preventiva,5,2024-05-24,2024-06-21,Concluída,2.04,4396.29,5071.82,Hidráulica,Manutenção programada,28
153,COLH-032,Colhedora,Corretiva,3,2024-06-10,2024-07-04,Aberta,12.95,5276.82,5495.36,Elétrica,Falha inesperada,24
154,COLH-004,Colhedora,Corretiva,5,2024-08-21,2024-08-29,Concluída,9.88,6476.83,7550.28,Hidráulica,Falha inesperada,8
155,COLH-030,Colhedora,Preventiva,4,2024-05-23,2024-06-03,Em execução,2.66,6826.45,7101.03,Elétrica,Manutenção programada,11
156,COLH-037,Colhedora,Corretiva,1,2024-12-23,2025-01-21,Em execução,3.34,3621.57,5551.860000000001,Elétrica,Falha inesperada,29
157,COLH-023,Colhedora,Corretiva,5,2024-07-06,2024-07-15,Concluída,6.73,4301.06,4380.620000000001,Mecânica,Falha inesperada,9
158,COLH-039,Colhedora,Preventiva,5,2024-11-17,2024-12-02,Concluída,2.78,11078.83,10951.17,Mecânica,Manutenção programada,15
159,COLH-045,Colhedora,Corretiva,1,2024-01-13,2024-01-14,Aberta,9.11,4624.98,5201.87,Elétrica,Falha inesperada,1
160,COLH-015,Colhedora,Corretiva,3,2024-07-02,2024-07-03,Concluída,9.82,3676.68,4838.98,Mecânica,Falha inesperada,1
161,COLH-043,Colhedora,Corretiva,1,2024-04-20,2024-05-09,Concluída,10.42,3926.3,5082.38,Elétrica,Falha inesperada,19
162,COLH-029,Colhedora,Corretiva,5,2024-10-16,2024-10-19,Em execução,3.17,4633.79,5067.22,Hidráulica,Falha inesperada,3
163,COLH-036,Colhedora,Corretiva,3,2024-10-21,2024-10-31,Concluída,8.63,4410.89,4982.16,Hidráulica,Falha inesperada,10
164,COLH-013,Colhedora,Preventiva,3,2024-08-02,2024-08-10,Concluída,2.84,4648.44,5220.87,Hidráulica,Manutenção programada,8
165,COLH-032,Colhedora,Corretiva,1,2024-04-29,2024-05-14,Aberta,16.03,4967.86,4405.5599999999995,Hidráulica,Falha inesperada,15
166,COLH-007,Colhedora,Corretiva,5,2024-02-24,2024-03-05,Concluída,8.19,4957.39,6076.650000000001,Elétrica,Falha inesperada,10
167,COLH-022,Colhedora,Corretiva,4,2024-01-27,2024-01-28,Concluída,6.13,3566.77,2860.48,Hidráulica,Falha inesperada,1
168,COLH-028,Colhedora,Corretiva,5,2024-04-27,2024-05-26,Concluída,8.33,5554.0,4993.2,Hidráulica,Falha inesperada,29
169,COLH-002,Colhedora,Preventiva,2,2024-08-08,2024-08-26,Em execução,2.99,5181.57,5525.59,Hidráulica,Manutenção programada,18
170,COLH-042,Colhedora,Corretiva,4,2024-08-18,2024-08-20,Aberta,2.03,5744.87,5788.98,Hidráulica,Falha inesperada,2
171,COLH-045,Colhedora,Corretiva,3,2024-02-22,2024-03-12,Concluída,9.22,2428.32,3365.25,Elétrica,Falha inesperada,19
172,COLH-006,Colhedora,Preventiva,4,2024-10-21,2024-11-03,Aberta,2.69,5235.27,5893.150000000001,Hidráulica,Manutenção programada,13
173,COLH-028,Colhedora,Corretiva,3,2024-11-16,2024-12-08,Concluída,7.92,2021.61,2432.17,Mecânica,Falha inesperada,22
174,COLH-028,Colhedora,Corretiva,3,2024-08-20,2024-08-21,Concluída,5.38,4736.64,4136.21,Mecânica,Falha inesperada,1
175,COLH-044,Colhedora,Corretiva,4,2024-06-06,2024-06-08,Concluída,4.72,5986.9,6308.15,Mecânica,Falha inesperada,2
176,COLH-044,Colhedora,Corretiva,3,2024-09-25,2024-10-24,Concluída,10.64,6568.67,6826.66,Mecânica,Falha inesperada,29
177,COLH-020,Colhedora,Corretiva,3,2024-01-21,2024-02-06,Concluída,11.33,5501.69,5979.44,Mecânica,Falha inesperada,16
178,COLH-030,Colhedora,Corretiva,2,2024-02-22,2024-03-08,Aberta,9.25,6013.09,5969.06,Mecânica,Falha inesperada,15
179,COLH-011,Colhedora,Preventiva,5,2024-10-01,2024-10-14,Concluída,1.19,4551.49,5269.74,Elétrica,Manutenção programada,13
180,COLH-028,Colhedora,Corretiva,5,2024-11-08,2024-11-24,Em execução,9.45,4236.25,4259.0,Mecânica,Falha inesperada,16
181,COLH-025,Colhedora,Corretiva,2,2024-10-07,2024-10-24,Em execução,2.61,9039.14,9682.43,Hidráulica,Falha inesperada,17
182,COLH-039,Colhedora,Corretiva,4,2024-08-01,2024-08-22,Concluída,6.02,6240.74,7177.58,Mecânica,Falha inesperada,21
183,COLH-033,Colhedora,Corretiva,1,2024-01-31,2024-02-29,Concluída,10.6,3240.52,3112.84,Elétrica,Falha inesperada,29
184,COLH-001,Colhedora,Preventiva,1,2024-12-02,2024-12-31,Concluída,3.66,2398.0,2080.27,Mecânica,Manutenção programada,29
185,COLH-027,Colhedora,Corretiva,1,2024-07-01,2024-07-08,Em execução,9.37,4302.4,4983.49,Hidráulica,Falha inesperada,7
186,COLH-013,Colhedora,Corretiva,2,2024-01-23,2024-02-16,Concluída,11.94,6787.8,6030.92,Hidráulica,Falha inesperada,24
187,COLH-041,Colhedora,Preventiva,2,2024-02-01,2024-02-27,Em execução,3.56,5073.11,6262.44,Elétrica,Manutenção programada,26
188,COLH-003,Colhedora,Corretiva,3,2024-03-14,2024-03-31,Concluída,1.94,1663.97,1972.74,Elétrica,Falha inesperada,17
189,COLH-039,Colhedora,Corretiva,1,2024-01-10,2024-01-17,Em execução,6.89,4734.06,4942.25,Elétrica,Falha inesperada,7
190,COLH-006,Colhedora,Corretiva,4,2024-02-23,2024-03-07,Concluída,7.88,4996.4,5733.209999999999,Elétrica,Falha inesperada,13
191,COLH-008,Colhedora,Corretiva,4,2024-02-21,2024-02-26,Concluída,7.52,1376.5,2063.66,Mecânica,Falha inesperada,5
